Order Ticket Number,Order Timestamp,Employee ID,Employee Name,Store ID,Store Name,Order Channel
TCK-000001,2025-01-01 11:08:47,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000002,2025-01-01 17:48:51,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000003,2025-01-01 12:34:07,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000004,2025-01-01 15:40:53,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000005,2025-01-01 13:44:35,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000006,2025-01-01 17:13:58,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Uber Eats
TCK-000007,2025-01-01 13:27:57,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000008,2025-01-01 13:27:38,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000009,2025-01-01 19:32:48,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000010,2025-01-01 12:48:10,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Grubhub
TCK-000011,2025-01-01 18:08:42,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000012,2025-01-01 18:45:19,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000013,2025-01-01 17:04:45,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000014,2025-01-01 12:13:34,EMP-002,Marcus Lee,STORE-01,Main Street Location,DoorDash
TCK-000015,2025-01-01 14:15:12,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000016,2025-01-01 17:03:41,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Uber Eats
TCK-000017,2025-01-01 20:57:03,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000018,2025-01-01 13:34:03,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000019,2025-01-01 19:59:16,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000020,2025-01-01 17:04:34,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000021,2025-01-01 19:39:51,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000022,2025-01-01 19:57:58,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000023,2025-01-01 13:57:09,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000024,2025-01-01 19:49:35,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000025,2025-01-01 22:51:42,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000026,2025-01-01 12:22:19,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000027,2025-01-01 19:01:07,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000028,2025-01-01 18:16:02,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000029,2025-01-01 18:26:42,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000030,2025-01-01 19:29:28,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000031,2025-01-01 17:29:26,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000032,2025-01-01 11:58:54,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000033,2025-01-01 19:49:49,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000034,2025-01-01 16:05:08,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000035,2025-01-01 12:24:57,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Grubhub
TCK-000036,2025-01-01 20:34:47,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000037,2025-01-01 20:46:10,EMP-004,Jordan Blake,STORE-01,Main Street Location,Uber Eats
TCK-000038,2025-01-01 22:16:53,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000039,2025-01-01 13:16:49,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000040,2025-01-01 19:54:43,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000041,2025-01-01 19:39:51,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000042,2025-01-02 12:11:31,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000043,2025-01-02 20:41:45,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000044,2025-01-02 19:42:37,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000045,2025-01-02 12:17:46,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Grubhub
TCK-000046,2025-01-02 20:06:55,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000047,2025-01-02 18:09:51,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Grubhub
TCK-000048,2025-01-02 18:49:33,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000049,2025-01-02 11:35:04,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000050,2025-01-02 18:27:07,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000051,2025-01-02 19:28:07,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000052,2025-01-02 17:48:43,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000053,2025-01-02 20:05:30,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000054,2025-01-02 20:05:20,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000055,2025-01-02 19:28:56,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000056,2025-01-02 20:53:30,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000057,2025-01-02 20:55:09,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000058,2025-01-02 17:20:47,EMP-004,Jordan Blake,STORE-01,Main Street Location,DoorDash
TCK-000059,2025-01-02 11:26:55,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000060,2025-01-02 20:55:34,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000061,2025-01-02 11:44:19,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000062,2025-01-02 13:26:36,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000063,2025-01-02 18:14:29,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000064,2025-01-02 12:22:37,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000065,2025-01-02 13:25:17,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000066,2025-01-02 12:14:40,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000067,2025-01-02 17:58:18,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000068,2025-01-02 21:16:58,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000069,2025-01-02 16:23:05,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000070,2025-01-02 12:58:44,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000071,2025-01-02 15:07:06,EMP-002,Marcus Lee,STORE-01,Main Street Location,Uber Eats
TCK-000072,2025-01-02 18:56:26,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Uber Eats
TCK-000073,2025-01-02 14:07:54,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000074,2025-01-02 13:13:37,EMP-002,Marcus Lee,STORE-01,Main Street Location,DoorDash
TCK-000075,2025-01-02 18:07:42,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000076,2025-01-02 12:49:23,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Takeout
TCK-000077,2025-01-02 21:57:05,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000078,2025-01-02 19:24:38,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000079,2025-01-02 17:53:05,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000080,2025-01-02 19:38:19,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000081,2025-01-02 17:38:59,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000082,2025-01-02 21:47:33,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000083,2025-01-02 20:31:38,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000084,2025-01-02 19:02:14,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000085,2025-01-02 11:48:16,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000086,2025-01-02 13:45:14,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Takeout
TCK-000087,2025-01-02 19:07:25,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Grubhub
TCK-000088,2025-01-02 17:25:55,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000089,2025-01-03 16:52:09,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000090,2025-01-03 19:55:40,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000091,2025-01-03 17:22:32,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000092,2025-01-03 17:28:58,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Takeout
TCK-000093,2025-01-03 11:45:28,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000094,2025-01-03 13:54:42,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Uber Eats
TCK-000095,2025-01-03 22:35:24,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000096,2025-01-03 13:53:47,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000097,2025-01-03 12:43:46,EMP-002,Marcus Lee,STORE-01,Main Street Location,Grubhub
TCK-000098,2025-01-03 20:10:52,EMP-002,Marcus Lee,STORE-01,Main Street Location,DoorDash
TCK-000099,2025-01-03 13:54:07,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000100,2025-01-03 19:59:01,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000101,2025-01-03 18:48:45,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000102,2025-01-03 20:07:49,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000103,2025-01-03 20:04:07,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000104,2025-01-03 12:00:39,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000105,2025-01-03 12:23:16,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000106,2025-01-03 19:08:02,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000107,2025-01-03 19:12:02,EMP-002,Marcus Lee,STORE-01,Main Street Location,Uber Eats
TCK-000108,2025-01-03 17:55:41,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000109,2025-01-03 19:51:05,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000110,2025-01-03 15:17:40,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000111,2025-01-03 15:36:02,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000112,2025-01-03 20:58:35,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
